size,stones,score_komi,score_neural,winrate_komi
9,BA2 BG8,6.0,6.57661444,0.517297781
9,BA2 BG9,1.5,1.55194433,0.490020164
9,BA2 BH2,4.0,4.41251296,0.5328213
9,BA2 BH3,5.5,5.90802363,0.460873577
9,BA2 BH4,7.0,7.36808448,0.469715055
9,BA2 BH5,7.5,8.12232781,0.46465259
9,BA2 BH6,7.0,7.86116198,0.482535778
9,BA2 BH7,6.5,6.75797693,0.441831085
9,BA2 BH8,4.5,4.61152611,0.478108335
9,BA2 BH9,1.0,0.965580581,0.483387839
9,BA2 BJ2,0.5,0.806699502,0.544628157
9,BA2 BJ3,1.0,1.09996798,0.527631318
9,BA2 BJ4,2.0,2.09873344,0.542030286
9,BA2 BJ5,2.5,2.32619193,0.47470458
9,BA2 BJ6,2.0,2.42001607,0.542158373
9,BA2 BJ7,1.5,1.53337244,0.496151582
9,BA2 BJ8,1.0,1.09721181,0.514668591
9,BA2 WA1,10.0,9.85212869,0.486940704
9,BA2 WA3,7.0,7.03072112,0.500606222
9,BA2 WA4,5.5,4.97395555,0.484260466
9,BA2 WA5,5.0,4.8176855,0.530912543
9,BA2 WA6,5.5,5.10201665,0.480808007
9,BA2 WA7,6.0,5.89146522,0.501907485
9,BA2 WA8,6.5,6.35057032,0.47380739
9,BA2 WA9,10.5,10.4727529,0.547189784
9,BA2 WB1,6.5,6.33977236,0.512557688
9,BA2 WB2,3.5,2.77161322,0.464193203
9,BA2 WB3,0.5,0.39410696,0.487930129
9,BA2 WB4,0.0,-0.0164642472,0.486269672
9,BA2 WB5,-0.5,-0.480236364,0.520216593
9,BA2 WB6,0.5,0.346871764,0.480576266
9,BA2 WB7,1.0,0.787257306,0.511051799
9,BA2 WB8,3.0,2.62251122,0.449819967
9,BA2 WB9,6.5,6.27009321,0.447965585
9,BA2 WC1,6.0,5.64667131,0.459890383
9,BA2 WC2,0.5,0.245590241,0.44788465
9,BA2 WC3,-0.5,-0.495479637,0.454069022
9,BA2 WC4,-2.0,-1.14955933,0.538166334
9,BA2 WC5,-2.0,-1.574742,0.488750145
9,BA2 WC6,-2.0,-1.58992482,0.479088145
9,BA2 WC7,-1.5,-0.789009533,0.515306497
9,BA2 WC8,1.0,0.858093098,0.510802439
9,BA2 WC9,6.0,5.7611423,0.475762526
9,BA2 WD1,5.5,5.21905802,0.523747699
9,BA2 WD2,0.0,0.0803925469,0.506851948
9,BA2 WD3,-2.0,-1.38053631,0.517041325
9,BA2 WD4,-2.0,-1.27780917,0.544226776
9,BA2 WD5,-2.0,-1.70047142,0.463023584
9,BA2 WD6,-2.5,-1.831118,0.493624989
9,BA2 WD7,-2.0,-1.5350838,0.471290727
9,BA2 WD8,0.0,0.0119581195,0.485254144
9,BA2 WD9,5.0,4.97260652,0.539154147
9,BA2 WE1,5.0,4.80031281,0.50983649
9,BA2 WE2,-0.5,-0.289293202,0.502816903
9,BA2 WE3,-2.0,-1.51859955,0.472368769
9,BA2 WE4,-2.0,-1.52241638,0.486130853
9,BA2 WE5,-2.0,-1.7100446,0.465166273
9,BA2 WE6,-2.5,-2.08198082,0.462396772
9,BA2 WE7,-1.5,-0.99284818,0.462452758
9,BA2 WE8,-0.5,-0.55554211,0.459004527
9,BA2 WE9,5.0,4.78293,0.538717191
9,BA2 WF1,5.0,5.01761007,0.533376065
9,BA2 WF2,0.0,0.301583119,0.566962108
9,BA2 WF3,-2.0,-1.51723132,0.48650123
9,BA2 WF4,-2.5,-1.86156071,0.506779647
9,BA2 WF5,-2.5,-2.23239447,0.486132614
9,BA2 WF6,-2.5,-2.50822379,0.463655735
9,BA2 WF7,-2.0,-1.54513508,0.508008379
9,BA2 WF8,0.0,0.177647106,0.532848076
9,BA2 WF9,5.5,5.04994439,0.504778207
9,BA2 WG1,6.0,5.84677672,0.537302842
9,BA2 WG2,1.0,0.734291658,0.530233163
9,BA2 WG3,-1.5,-0.852892643,0.522618312
9,BA2 WG4,-2.0,-1.34227139,0.497737405
9,BA2 WG5,-2.0,-1.22572665,0.523024707
9,BA2 WG6,-2.0,-1.58478789,0.522201309
9,BA2 WG7,0.0,-0.0413201025,0.475399373
9,BA2 WG8,1.5,0.762328902,0.468705238
9,BA2 WG9,6.0,5.91921124,0.526036338
9,BA2 WH1,6.5,6.28085554,0.440835337
9,BA2 WH2,3.0,2.58383807,0.516803838
9,BA2 WH3,1.0,0.827026346,0.540918185
9,BA2 WH4,0.0,0.139738468,0.519805643
9,BA2 WH5,-1.0,-0.40402758,0.54525289
9,BA2 WH6,0.5,0.409218346,0.49031174
9,BA2 WH7,1.0,0.758276157,0.537359931
9,BA2 WH8,3.0,2.36787397,0.457365921
9,BA2 WH9,6.0,6.15493948,0.551063737
9,BA2 WJ1,10.5,10.4103844,0.526741354
9,BA2 WJ2,6.5,6.33068548,0.495802121
9,BA2 WJ3,6.0,5.71888051,0.498833252
9,BA2 WJ4,5.0,4.9164744,0.527987959
9,BA2 WJ5,5.0,4.67433996,0.520352834
9,BA2 WJ6,5.0,5.00918553,0.543541256
9,BA2 WJ7,6.0,5.84932855,0.516186049
9,BA2 WJ8,6.0,6.02974524,0.516128841
9,BA2 WJ9,11.0,10.5079928,0.480165373
9,BA3 BA4,2.0,1.68385304,0.452827118
9,BA3 BA5,3.0,3.26250618,0.524558484
9,BA3 BA6,3.0,2.99153106,0.440807544
9,BA3 BA7,2.0,1.95961763,0.461638453
9,BA3 BB2,3.5,3.8004204,0.483671701
9,BA3 BB3,4.5,4.2841583,0.457548308
9,BA3 BB4,6.0,6.69180145,0.542634143
9,BA3 BB5,7.0,8.00163681,0.533327789
9,BA3 BB6,7.0,8.17166157,0.552285153
9,BA3 BB7,6.0,6.92887164,0.516651005
9,BA3 BB8,4.5,5.03878215,0.498573665
9,BA3 BC1,1.5,1.24706779,0.459604438
9,BA3 BC2,5.5,5.79800064,0.490189283
9,BA3 BC3,8.0,8.38993379,0.474507184
9,BA3 BC4,8.0,8.76312843,0.522370245
9,BA3 BC5,9.0,9.32596679,0.466894713
9,BA3 BC6,9.5,10.0027987,0.47938778
9,BA3 BC7,8.5,8.9786939,0.470109174
9,BA3 BC8,6.0,6.53230394,0.455951464
9,BA3 BC9,1.5,1.92974627,0.560053434
9,BA3 BD1,2.0,2.0190012,0.480368335
9,BA3 BD2,7.0,7.52788683,0.4647438
9,BA3 BD3,8.5,9.28059945,0.519552098
9,BA3 BD4,9.5,9.99944286,0.510260188
9,BA3 BD5,9.5,9.92401952,0.519991973
9,BA3 BD6,10.5,10.8010596,0.474725786
9,BA3 BD7,9.0,9.63532105,0.48516726
9,BA3 BD8,7.0,7.7761985,0.481366244
9,BA3 BD9,2.5,2.49056114,0.497409122
9,BA3 BE1,2.5,2.72123537,0.5416948
9,BA3 BE2,7.0,8.36436226,0.546746432
9,BA3 BE3,9.0,9.58336469,0.536016814
9,BA3 BE4,10.0,10.2276747,0.492292546
9,BA3 BE5,10.5,11.0178335,0.498036515
9,BA3 BE6,10.5,11.1104909,0.52704277
9,BA3 BE7,9.5,9.94113989,0.48010049
9,BA3 BE8,7.5,8.36351793,0.520437066
9,BA3 BE9,3.0,3.09360686,0.498548475
9,BA3 BF1,2.5,2.44219064,0.455355659
9,BA3 BF2,7.0,7.82367283,0.483277333
9,BA3 BF3,9.0,9.66928617,0.524710991
9,BA3 BF4,9.5,10.3478307,0.553473108
9,BA3 BF5,10.0,10.432748,0.536142416
9,BA3 BF6,11.0,10.9201151,0.466142542
9,BA3 BF7,9.5,10.0814842,0.515835741
9,BA3 BF8,7.5,8.12862362,0.451982265
9,BA3 BF9,2.5,2.7048931,0.508685101
9,BA3 BG2,6.0,6.57421015,0.479980599
9,BA3 BG3,8.0,8.94232209,0.500305177
9,BA3 BG4,9.0,9.72604408,0.475099041
9,BA3 BG5,9.5,10.3746168,0.511345882
9,BA3 BG6,10.0,10.4074648,0.414186244
9,BA3 BG7,8.5,9.0763607,0.467402757
9,BA3 BG8,6.5,6.92436955,0.475123748
9,BA3 BG9,1.5,1.65903227,0.546346876
9,BA3 BH2,4.0,4.50416531,0.540676344
9,BA3 BH3,6.0,6.31802807,0.49068824
9,BA3 BH4,7.5,8.19234321,0.502843418
9,BA3 BH5,8.0,8.68863693,0.467650156
9,BA3 BH6,7.5,8.47740855,0.529982494
9,BA3 BH7,6.5,7.38885083,0.524782229
9,BA3 BH8,5.0,5.28689242,0.458199205
9,BA3 BJ3,2.0,1.60268984,0.440139053
9,BA3 BJ4,2.5,2.92532213,0.55166285
9,BA3 BJ5,3.0,3.24565071,0.482234099
9,BA3 BJ6,3.0,2.84128149,0.468535705
9,BA3 BJ7,2.0,2.03736227,0.539896601
9,BA3 WA1,11.0,10.9571464,0.529136954
9,BA3 WA2,6.0,5.72958789,0.523331768
9,BA3 WA4,5.5,5.7251941,0.559876971
9,BA3 WA5,5.5,5.22970312,0.486251133
